date,route_id,origin,destination,carrier_id,carrier_name,transit_time_days,cost,on_time_delivery,mode,distance_km
2023-01-14,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-01-14,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,8516,0,Ship,12000
2023-01-15,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1589,1,Truck,800
2023-01-15,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8656,1,Ship,12000
2023-01-16,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,417,1,Truck,800
2023-01-16,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,8639,1,Ship,12000
2023-01-17,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-01-17,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,8878,0,Ship,12000
2023-01-18,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,835,1,Truck,800
2023-01-18,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9222,1,Ship,12000
2023-01-19,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1623,0,Truck,800
2023-01-19,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,6888,1,Ship,12000
2023-01-20,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,986,1,Truck,800
2023-01-20,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7236,1,Ship,12000
2023-01-21,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1365,1,Truck,800
2023-01-21,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8143,1,Ship,12000
2023-01-22,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2066,1,Truck,800
2023-01-22,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8732,1,Ship,12000
2023-01-23,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,847,1,Truck,800
2023-01-23,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8687,1,Ship,12000
2023-01-24,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,590,1,Truck,800
2023-01-24,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,9022,0,Ship,12000
2023-01-25,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1434,1,Truck,800
2023-01-25,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,29,6008,0,Ship,12000
2023-01-26,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,4029,1,Truck,800
2023-01-26,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8489,1,Ship,12000
2023-01-27,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,707,1,Truck,800
2023-01-27,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8430,1,Ship,12000
2023-01-28,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1937,1,Truck,800
2023-01-28,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8321,1,Ship,12000
2023-01-29,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,928,1,Truck,800
2023-01-29,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7208,1,Ship,12000
2023-01-30,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,573,1,Truck,800
2023-01-30,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8783,1,Ship,12000
2023-01-31,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1315,1,Truck,800
2023-01-31,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7892,1,Ship,12000
2023-02-01,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1603,1,Truck,800
2023-02-01,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7880,1,Ship,12000
2023-02-02,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1605,1,Truck,800
2023-02-02,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7074,1,Ship,12000
2023-02-03,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,989,1,Truck,800
2023-02-03,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7997,1,Ship,12000
2023-02-04,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,2675,0,Truck,800
2023-02-04,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8004,1,Ship,12000
2023-02-05,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2357,1,Truck,800
2023-02-05,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8799,1,Ship,12000
2023-02-06,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,54,1,Truck,800
2023-02-06,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9658,1,Ship,12000
2023-02-07,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,2149,1,Truck,800
2023-02-07,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9035,1,Ship,12000
2023-02-08,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1717,1,Truck,800
2023-02-08,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8660,1,Ship,12000
2023-02-09,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,10,1871,0,Truck,800
2023-02-09,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9601,1,Ship,12000
2023-02-10,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-02-10,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9815,1,Ship,12000
2023-02-11,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2724,1,Truck,800
2023-02-11,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7263,1,Ship,12000
2023-02-12,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,736,1,Truck,800
2023-02-12,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,29,8926,0,Ship,12000
2023-02-13,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2216,1,Truck,800
2023-02-13,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,8583,0,Ship,12000
2023-02-14,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1731,1,Truck,800
2023-02-14,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7657,1,Ship,12000
2023-02-15,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1539,1,Truck,800
2023-02-15,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,10167,1,Ship,12000
2023-02-16,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1435,1,Truck,800
2023-02-16,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9346,1,Ship,12000
2023-02-17,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,484,1,Truck,800
2023-02-17,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7587,1,Ship,12000
2023-02-18,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,3379,1,Truck,800
2023-02-18,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,8940,1,Ship,12000
2023-02-19,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2160,1,Truck,800
2023-02-19,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9892,1,Ship,12000
2023-02-20,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-02-20,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,10363,1,Ship,12000
2023-02-21,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1456,1,Truck,800
2023-02-21,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,10603,0,Ship,12000
2023-02-22,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,61,1,Truck,800
2023-02-22,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9681,1,Ship,12000
2023-02-23,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,683,1,Truck,800
2023-02-23,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8394,1,Ship,12000
2023-02-24,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2502,1,Truck,800
2023-02-24,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8073,1,Ship,12000
2023-02-25,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1357,0,Truck,800
2023-02-25,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,11079,1,Ship,12000
2023-02-26,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1367,0,Truck,800
2023-02-26,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,8103,1,Ship,12000
2023-02-27,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,712,1,Truck,800
2023-02-27,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,6673,0,Ship,12000
2023-02-28,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1013,0,Truck,800
2023-02-28,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8928,1,Ship,12000
2023-03-01,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1003,1,Truck,800
2023-03-01,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9010,1,Ship,12000
2023-03-02,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,4307,0,Truck,800
2023-03-02,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9749,1,Ship,12000
2023-03-03,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1337,1,Truck,800
2023-03-03,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9476,1,Ship,12000
2023-03-04,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2185,1,Truck,800
2023-03-04,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,6276,1,Ship,12000
2023-03-05,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,2996,1,Truck,800
2023-03-05,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8648,1,Ship,12000
2023-03-06,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1,1,Truck,800
2023-03-06,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,29,8941,0,Ship,12000
2023-03-07,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-03-07,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9040,1,Ship,12000
2023-03-08,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1510,1,Truck,800
2023-03-08,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7708,1,Ship,12000
2023-03-09,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,879,1,Truck,800
2023-03-09,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7853,1,Ship,12000
2023-03-10,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,699,1,Truck,800
2023-03-10,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8701,1,Ship,12000
2023-03-11,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1974,0,Truck,800
2023-03-11,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,9966,0,Ship,12000
2023-03-12,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1683,1,Truck,800
2023-03-12,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,8519,1,Ship,12000
2023-03-13,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,2225,1,Truck,800
2023-03-13,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8267,1,Ship,12000
2023-03-14,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,999,1,Truck,800
2023-03-14,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8343,1,Ship,12000
2023-03-15,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1,0,Truck,800
2023-03-15,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9062,1,Ship,12000
2023-03-16,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-03-16,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,8749,0,Ship,12000
2023-03-17,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,864,1,Truck,800
2023-03-17,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7808,1,Ship,12000
2023-03-18,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1082,1,Truck,800
2023-03-18,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,8405,1,Ship,12000
2023-03-19,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,2437,1,Truck,800
2023-03-19,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,29,8016,0,Ship,12000
2023-03-20,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,409,1,Truck,800
2023-03-20,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,10463,1,Ship,12000
2023-03-21,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1072,1,Truck,800
2023-03-21,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8601,1,Ship,12000
2023-03-22,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2676,1,Truck,800
2023-03-22,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9134,1,Ship,12000
2023-03-23,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1363,1,Truck,800
2023-03-23,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,10200,1,Ship,12000
2023-03-24,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,822,1,Truck,800
2023-03-24,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9043,1,Ship,12000
2023-03-25,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,790,1,Truck,800
2023-03-25,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9983,1,Ship,12000
2023-03-26,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,10,1449,0,Truck,800
2023-03-26,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,5549,1,Ship,12000
2023-03-27,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,671,1,Truck,800
2023-03-27,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9880,1,Ship,12000
2023-03-28,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-03-28,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,8035,0,Ship,12000
2023-03-29,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-03-29,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,6573,0,Ship,12000
2023-03-30,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,106,1,Truck,800
2023-03-30,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,29,8933,0,Ship,12000
2023-03-31,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-03-31,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,10880,1,Ship,12000
2023-04-01,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1817,1,Truck,800
2023-04-01,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8641,1,Ship,12000
2023-04-02,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1,0,Truck,800
2023-04-02,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,6669,1,Ship,12000
2023-04-03,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,999,1,Truck,800
2023-04-03,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,10661,1,Ship,12000
2023-04-04,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-04-04,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,6925,1,Ship,12000
2023-04-05,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2425,1,Truck,800
2023-04-05,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9685,1,Ship,12000
2023-04-06,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1548,1,Truck,800
2023-04-06,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7895,1,Ship,12000
2023-04-07,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1865,1,Truck,800
2023-04-07,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,6919,0,Ship,12000
2023-04-08,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1358,1,Truck,800
2023-04-08,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,6461,1,Ship,12000
2023-04-09,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1279,1,Truck,800
2023-04-09,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9770,1,Ship,12000
2023-04-10,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,3406,1,Truck,800
2023-04-10,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7949,1,Ship,12000
2023-04-11,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,10,1622,0,Truck,800
2023-04-11,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,6140,1,Ship,12000
2023-04-12,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,471,0,Truck,800
2023-04-12,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,9190,0,Ship,12000
2023-04-13,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2315,1,Truck,800
2023-04-13,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9172,1,Ship,12000
2023-04-14,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,518,0,Truck,800
2023-04-14,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7391,1,Ship,12000
2023-04-15,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,253,1,Truck,800
2023-04-15,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,8576,0,Ship,12000
2023-04-16,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,10,1,0,Truck,800
2023-04-16,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7926,1,Ship,12000
2023-04-17,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1842,1,Truck,800
2023-04-17,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8812,1,Ship,12000
2023-04-18,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-04-18,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9639,1,Ship,12000
2023-04-19,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,993,1,Truck,800
2023-04-19,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9970,1,Ship,12000
2023-04-20,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,484,1,Truck,800
2023-04-20,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7842,1,Ship,12000
2023-04-21,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2297,1,Truck,800
2023-04-21,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,6934,1,Ship,12000
2023-04-22,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1869,1,Truck,800
2023-04-22,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,6454,1,Ship,12000
2023-04-23,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,360,1,Truck,800
2023-04-23,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7975,1,Ship,12000
2023-04-24,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,10,1803,0,Truck,800
2023-04-24,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,5750,1,Ship,12000
2023-04-25,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1983,1,Truck,800
2023-04-25,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,7888,0,Ship,12000
2023-04-26,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2813,1,Truck,800
2023-04-26,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7713,1,Ship,12000
2023-04-27,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,399,1,Truck,800
2023-04-27,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,6777,1,Ship,12000
2023-04-28,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1317,1,Truck,800
2023-04-28,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,10550,1,Ship,12000
2023-04-29,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,873,1,Truck,800
2023-04-29,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8654,1,Ship,12000
2023-04-30,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-04-30,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9260,1,Ship,12000
2023-05-01,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,757,1,Truck,800
2023-05-01,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7880,1,Ship,12000
2023-05-02,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,160,1,Truck,800
2023-05-02,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7689,1,Ship,12000
2023-05-03,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1857,1,Truck,800
2023-05-03,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9492,1,Ship,12000
2023-05-04,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,1,0,Truck,800
2023-05-04,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7047,1,Ship,12000
2023-05-05,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1237,1,Truck,800
2023-05-05,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,7070,0,Ship,12000
2023-05-06,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1,1,Truck,800
2023-05-06,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7517,1,Ship,12000
2023-05-07,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1610,1,Truck,800
2023-05-07,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9987,1,Ship,12000
2023-05-08,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,922,1,Truck,800
2023-05-08,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,8581,1,Ship,12000
2023-05-09,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1846,1,Truck,800
2023-05-09,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,7534,1,Ship,12000
2023-05-10,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1726,1,Truck,800
2023-05-10,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,10708,1,Ship,12000
2023-05-11,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,28,1,Truck,800
2023-05-11,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8944,1,Ship,12000
2023-05-12,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1289,1,Truck,800
2023-05-12,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7275,1,Ship,12000
2023-05-13,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2264,1,Truck,800
