date,warehouse_id,warehouse_name,warehouse_region,sku,stock_on_hand,safety_stock,reorder_point,inbound_qty,outbound_qty,days_of_supply
2023-01-14,WH_001,Central Warehouse,Midwest,SKU_123,12951,5000,8000,1083,1730,7
2023-01-14,WH_002,West Warehouse,California,SKU_456,4531,2000,4000,3595,494,9
2023-01-15,WH_001,Central Warehouse,Midwest,SKU_123,11177,5000,8000,4012,1238,9
2023-01-15,WH_002,West Warehouse,California,SKU_456,3397,2000,4000,2262,1214,2
2023-01-16,WH_001,Central Warehouse,Midwest,SKU_123,11074,5000,8000,684,3161,3
2023-01-16,WH_002,West Warehouse,California,SKU_456,7119,2000,4000,0,2396,2
2023-01-17,WH_001,Central Warehouse,Midwest,SKU_123,16138,5000,8000,1080,940,17
2023-01-17,WH_002,West Warehouse,California,SKU_456,10357,2000,4000,1703,344,30
2023-01-18,WH_001,Central Warehouse,Midwest,SKU_123,20255,5000,8000,1479,2397,8
2023-01-18,WH_002,West Warehouse,California,SKU_456,12474,2000,4000,798,2119,5
2023-01-19,WH_001,Central Warehouse,Midwest,SKU_123,11719,5000,8000,0,1245,9
2023-01-19,WH_002,West Warehouse,California,SKU_456,9391,2000,4000,1444,1315,7
2023-01-20,WH_001,Central Warehouse,Midwest,SKU_123,18002,5000,8000,2127,994,18
2023-01-20,WH_002,West Warehouse,California,SKU_456,10457,2000,4000,2237,1,10457
2023-01-21,WH_001,Central Warehouse,Midwest,SKU_123,15499,5000,8000,2470,1512,10
2023-01-21,WH_002,West Warehouse,California,SKU_456,11120,2000,4000,1193,1701,6
2023-01-22,WH_001,Central Warehouse,Midwest,SKU_123,8515,5000,8000,2488,2671,3
2023-01-22,WH_002,West Warehouse,California,SKU_456,4518,2000,4000,1088,1073,4
2023-01-23,WH_001,Central Warehouse,Midwest,SKU_123,14454,5000,8000,724,1752,8
2023-01-23,WH_002,West Warehouse,California,SKU_456,10963,2000,4000,2641,438,25
2023-01-24,WH_001,Central Warehouse,Midwest,SKU_123,17483,5000,8000,3124,1998,8
2023-01-24,WH_002,West Warehouse,California,SKU_456,9304,2000,4000,2264,2119,4
2023-01-25,WH_001,Central Warehouse,Midwest,SKU_123,20732,5000,8000,856,2146,9
2023-01-25,WH_002,West Warehouse,California,SKU_456,7698,2000,4000,1844,578,13
2023-01-26,WH_001,Central Warehouse,Midwest,SKU_123,13003,5000,8000,803,1221,10
2023-01-26,WH_002,West Warehouse,California,SKU_456,4156,2000,4000,1461,1256,3
2023-01-27,WH_001,Central Warehouse,Midwest,SKU_123,14338,5000,8000,62,632,22
2023-01-27,WH_002,West Warehouse,California,SKU_456,9266,2000,4000,1043,2144,4
2023-01-28,WH_001,Central Warehouse,Midwest,SKU_123,14788,5000,8000,2728,2346,6
2023-01-28,WH_002,West Warehouse,California,SKU_456,6916,2000,4000,1310,2023,3
2023-01-29,WH_001,Central Warehouse,Midwest,SKU_123,15783,5000,8000,1775,2334,6
2023-01-29,WH_002,West Warehouse,California,SKU_456,7257,2000,4000,2039,1512,4
2023-01-30,WH_001,Central Warehouse,Midwest,SKU_123,10728,5000,8000,2093,2338,4
2023-01-30,WH_002,West Warehouse,California,SKU_456,9557,2000,4000,2037,1402,6
2023-01-31,WH_001,Central Warehouse,Midwest,SKU_123,15158,5000,8000,2899,1865,8
2023-01-31,WH_002,West Warehouse,California,SKU_456,6838,2000,4000,2389,1787,3
2023-02-01,WH_001,Central Warehouse,Midwest,SKU_123,10474,5000,8000,2201,203,51
2023-02-01,WH_002,West Warehouse,California,SKU_456,9688,2000,4000,2792,1948,4
2023-02-02,WH_001,Central Warehouse,Midwest,SKU_123,12617,5000,8000,2370,2354,5
2023-02-02,WH_002,West Warehouse,California,SKU_456,12948,2000,4000,1964,1583,8
2023-02-03,WH_001,Central Warehouse,Midwest,SKU_123,17888,5000,8000,199,1306,13
2023-02-03,WH_002,West Warehouse,California,SKU_456,12674,2000,4000,3170,1721,7
2023-02-04,WH_001,Central Warehouse,Midwest,SKU_123,8729,5000,8000,1940,1146,7
2023-02-04,WH_002,West Warehouse,California,SKU_456,9158,2000,4000,1028,884,10
2023-02-05,WH_001,Central Warehouse,Midwest,SKU_123,6772,5000,8000,3466,1260,5
2023-02-05,WH_002,West Warehouse,California,SKU_456,8550,2000,4000,1997,859,9
2023-02-06,WH_001,Central Warehouse,Midwest,SKU_123,9593,5000,8000,793,1066,8
2023-02-06,WH_002,West Warehouse,California,SKU_456,9283,2000,4000,1045,2547,3
2023-02-07,WH_001,Central Warehouse,Midwest,SKU_123,17595,5000,8000,2970,1428,12
2023-02-07,WH_002,West Warehouse,California,SKU_456,13299,2000,4000,1738,1481,8
2023-02-08,WH_001,Central Warehouse,Midwest,SKU_123,14594,5000,8000,2842,1882,7
2023-02-08,WH_002,West Warehouse,California,SKU_456,6337,2000,4000,1360,1883,3
2023-02-09,WH_001,Central Warehouse,Midwest,SKU_123,16503,5000,8000,1527,547,30
2023-02-09,WH_002,West Warehouse,California,SKU_456,7274,2000,4000,2748,2583,2
2023-02-10,WH_001,Central Warehouse,Midwest,SKU_123,9807,5000,8000,1488,1266,7
2023-02-10,WH_002,West Warehouse,California,SKU_456,12745,2000,4000,1958,955,13
2023-02-11,WH_001,Central Warehouse,Midwest,SKU_123,15955,5000,8000,1514,765,20
2023-02-11,WH_002,West Warehouse,California,SKU_456,4875,2000,4000,4080,1730,2
2023-02-12,WH_001,Central Warehouse,Midwest,SKU_123,14377,5000,8000,1700,1675,8
2023-02-12,WH_002,West Warehouse,California,SKU_456,8980,2000,4000,2350,1568,5
2023-02-13,WH_001,Central Warehouse,Midwest,SKU_123,17040,5000,8000,2027,913,18
2023-02-13,WH_002,West Warehouse,California,SKU_456,5856,2000,4000,0,2716,2
2023-02-14,WH_001,Central Warehouse,Midwest,SKU_123,17019,5000,8000,1003,1330,12
2023-02-14,WH_002,West Warehouse,California,SKU_456,5770,2000,4000,3851,648,8
2023-02-15,WH_001,Central Warehouse,Midwest,SKU_123,14400,5000,8000,1869,1996,7
2023-02-15,WH_002,West Warehouse,California,SKU_456,7635,2000,4000,0,1349,5
2023-02-16,WH_001,Central Warehouse,Midwest,SKU_123,10597,5000,8000,2095,2360,4
2023-02-16,WH_002,West Warehouse,California,SKU_456,1912,2000,4000,1039,1168,1
2023-02-17,WH_001,Central Warehouse,Midwest,SKU_123,12664,5000,8000,2888,1395,9
2023-02-17,WH_002,West Warehouse,California,SKU_456,9455,2000,4000,1249,1637,5
2023-02-18,WH_001,Central Warehouse,Midwest,SKU_123,16722,5000,8000,1121,1968,8
2023-02-18,WH_002,West Warehouse,California,SKU_456,8183,2000,4000,3254,1379,5
2023-02-19,WH_001,Central Warehouse,Midwest,SKU_123,15334,5000,8000,1951,1442,10
2023-02-19,WH_002,West Warehouse,California,SKU_456,8906,2000,4000,2644,750,11
2023-02-20,WH_001,Central Warehouse,Midwest,SKU_123,19017,5000,8000,0,1089,17
2023-02-20,WH_002,West Warehouse,California,SKU_456,7670,2000,4000,2494,2445,3
2023-02-21,WH_001,Central Warehouse,Midwest,SKU_123,7495,5000,8000,1390,223,33
2023-02-21,WH_002,West Warehouse,California,SKU_456,8110,2000,4000,2326,2454,3
2023-02-22,WH_001,Central Warehouse,Midwest,SKU_123,14422,5000,8000,3252,1850,7
2023-02-22,WH_002,West Warehouse,California,SKU_456,6476,2000,4000,309,1665,3
2023-02-23,WH_001,Central Warehouse,Midwest,SKU_123,8777,5000,8000,3554,1402,6
2023-02-23,WH_002,West Warehouse,California,SKU_456,12183,2000,4000,1423,1661,7
2023-02-24,WH_001,Central Warehouse,Midwest,SKU_123,14732,5000,8000,1945,1240,11
2023-02-24,WH_002,West Warehouse,California,SKU_456,9373,2000,4000,888,774,12
2023-02-25,WH_001,Central Warehouse,Midwest,SKU_123,18349,5000,8000,2872,1539,11
2023-02-25,WH_002,West Warehouse,California,SKU_456,13827,2000,4000,1678,2293,6
2023-02-26,WH_001,Central Warehouse,Midwest,SKU_123,14614,5000,8000,770,2608,5
2023-02-26,WH_002,West Warehouse,California,SKU_456,11467,2000,4000,1854,1936,5
2023-02-27,WH_001,Central Warehouse,Midwest,SKU_123,12587,5000,8000,2994,65,193
2023-02-27,WH_002,West Warehouse,California,SKU_456,4430,2000,4000,3175,1350,3
2023-02-28,WH_001,Central Warehouse,Midwest,SKU_123,14726,5000,8000,383,2608,5
2023-02-28,WH_002,West Warehouse,California,SKU_456,12166,2000,4000,1759,1257,9
2023-03-01,WH_001,Central Warehouse,Midwest,SKU_123,17603,5000,8000,4378,2072,8
2023-03-01,WH_002,West Warehouse,California,SKU_456,15601,2000,4000,893,1008,15
2023-03-02,WH_001,Central Warehouse,Midwest,SKU_123,9838,5000,8000,2530,1605,6
2023-03-02,WH_002,West Warehouse,California,SKU_456,7468,2000,4000,2971,2239,3
2023-03-03,WH_001,Central Warehouse,Midwest,SKU_123,8660,5000,8000,1283,1992,4
2023-03-03,WH_002,West Warehouse,California,SKU_456,6362,2000,4000,1042,2111,3
2023-03-04,WH_001,Central Warehouse,Midwest,SKU_123,9486,5000,8000,1638,1697,5
2023-03-04,WH_002,West Warehouse,California,SKU_456,5991,2000,4000,2939,1158,5
2023-03-05,WH_001,Central Warehouse,Midwest,SKU_123,18930,5000,8000,1849,1902,9
2023-03-05,WH_002,West Warehouse,California,SKU_456,10611,2000,4000,1246,267,39
2023-03-06,WH_001,Central Warehouse,Midwest,SKU_123,15262,5000,8000,2086,1833,8
2023-03-06,WH_002,West Warehouse,California,SKU_456,7207,2000,4000,1483,2705,2
2023-03-07,WH_001,Central Warehouse,Midwest,SKU_123,8846,5000,8000,2880,1155,7
2023-03-07,WH_002,West Warehouse,California,SKU_456,6824,2000,4000,1619,1017,6
2023-03-08,WH_001,Central Warehouse,Midwest,SKU_123,15999,5000,8000,3668,1782,8
2023-03-08,WH_002,West Warehouse,California,SKU_456,8361,2000,4000,816,1810,4
2023-03-09,WH_001,Central Warehouse,Midwest,SKU_123,21547,5000,8000,1543,1274,16
2023-03-09,WH_002,West Warehouse,California,SKU_456,6036,2000,4000,1412,1,6036
2023-03-10,WH_001,Central Warehouse,Midwest,SKU_123,15417,5000,8000,985,533,28
2023-03-10,WH_002,West Warehouse,California,SKU_456,10636,2000,4000,701,1296,8
2023-03-11,WH_001,Central Warehouse,Midwest,SKU_123,19132,5000,8000,308,580,32
2023-03-11,WH_002,West Warehouse,California,SKU_456,8942,2000,4000,3379,555,16
2023-03-12,WH_001,Central Warehouse,Midwest,SKU_123,15426,5000,8000,2697,264,58
2023-03-12,WH_002,West Warehouse,California,SKU_456,10794,2000,4000,3051,1312,8
2023-03-13,WH_001,Central Warehouse,Midwest,SKU_123,18383,5000,8000,3363,1561,11
2023-03-13,WH_002,West Warehouse,California,SKU_456,6419,2000,4000,832,1477,4
2023-03-14,WH_001,Central Warehouse,Midwest,SKU_123,15994,5000,8000,1610,181,88
2023-03-14,WH_002,West Warehouse,California,SKU_456,12440,2000,4000,2228,1272,9
2023-03-15,WH_001,Central Warehouse,Midwest,SKU_123,17000,5000,8000,3829,1,17000
2023-03-15,WH_002,West Warehouse,California,SKU_456,9519,2000,4000,288,1799,5
2023-03-16,WH_001,Central Warehouse,Midwest,SKU_123,14447,5000,8000,2762,1200,12
2023-03-16,WH_002,West Warehouse,California,SKU_456,1443,2000,4000,1459,1744,1
2023-03-17,WH_001,Central Warehouse,Midwest,SKU_123,17553,5000,8000,593,2116,8
2023-03-17,WH_002,West Warehouse,California,SKU_456,5732,2000,4000,2434,1194,4
2023-03-18,WH_001,Central Warehouse,Midwest,SKU_123,14637,5000,8000,3070,763,19
2023-03-18,WH_002,West Warehouse,California,SKU_456,5620,2000,4000,2221,2940,1
2023-03-19,WH_001,Central Warehouse,Midwest,SKU_123,10978,5000,8000,4448,2702,4
2023-03-19,WH_002,West Warehouse,California,SKU_456,7659,2000,4000,1642,1084,7
2023-03-20,WH_001,Central Warehouse,Midwest,SKU_123,13761,5000,8000,311,1454,9
2023-03-20,WH_002,West Warehouse,California,SKU_456,13239,2000,4000,1266,1355,9
2023-03-21,WH_001,Central Warehouse,Midwest,SKU_123,8046,5000,8000,2448,1658,4
2023-03-21,WH_002,West Warehouse,California,SKU_456,8222,2000,4000,1739,1324,6
2023-03-22,WH_001,Central Warehouse,Midwest,SKU_123,15756,5000,8000,1965,1688,9
2023-03-22,WH_002,West Warehouse,California,SKU_456,8752,2000,4000,3348,1906,4
2023-03-23,WH_001,Central Warehouse,Midwest,SKU_123,14675,5000,8000,3822,1752,8
2023-03-23,WH_002,West Warehouse,California,SKU_456,12567,2000,4000,2728,394,31
2023-03-24,WH_001,Central Warehouse,Midwest,SKU_123,18566,5000,8000,2162,1468,12
2023-03-24,WH_002,West Warehouse,California,SKU_456,8984,2000,4000,1586,1636,5
2023-03-25,WH_001,Central Warehouse,Midwest,SKU_123,11928,5000,8000,3529,1431,8
2023-03-25,WH_002,West Warehouse,California,SKU_456,6660,2000,4000,890,1661,4
2023-03-26,WH_001,Central Warehouse,Midwest,SKU_123,14654,5000,8000,2466,883,16
2023-03-26,WH_002,West Warehouse,California,SKU_456,2395,2000,4000,2750,2390,1
2023-03-27,WH_001,Central Warehouse,Midwest,SKU_123,10407,5000,8000,3907,1670,6
2023-03-27,WH_002,West Warehouse,California,SKU_456,7975,2000,4000,1522,669,11
2023-03-28,WH_001,Central Warehouse,Midwest,SKU_123,17457,5000,8000,1069,1032,16
2023-03-28,WH_002,West Warehouse,California,SKU_456,11471,2000,4000,0,585,19
2023-03-29,WH_001,Central Warehouse,Midwest,SKU_123,13936,5000,8000,2351,1790,7
2023-03-29,WH_002,West Warehouse,California,SKU_456,6943,2000,4000,5036,1363,5
2023-03-30,WH_001,Central Warehouse,Midwest,SKU_123,13192,5000,8000,1043,1574,8
2023-03-30,WH_002,West Warehouse,California,SKU_456,10152,2000,4000,3444,606,16
2023-03-31,WH_001,Central Warehouse,Midwest,SKU_123,13139,5000,8000,2536,1852,7
2023-03-31,WH_002,West Warehouse,California,SKU_456,8022,2000,4000,2650,1014,7
2023-04-01,WH_001,Central Warehouse,Midwest,SKU_123,19452,5000,8000,3191,693,28
2023-04-01,WH_002,West Warehouse,California,SKU_456,4237,2000,4000,743,1906,2
2023-04-02,WH_001,Central Warehouse,Midwest,SKU_123,9503,5000,8000,1602,1772,5
2023-04-02,WH_002,West Warehouse,California,SKU_456,7768,2000,4000,2310,860,9
2023-04-03,WH_001,Central Warehouse,Midwest,SKU_123,16081,5000,8000,1264,1305,12
2023-04-03,WH_002,West Warehouse,California,SKU_456,8832,2000,4000,2123,1514,5
2023-04-04,WH_001,Central Warehouse,Midwest,SKU_123,11372,5000,8000,1640,1501,7
2023-04-04,WH_002,West Warehouse,California,SKU_456,3187,2000,4000,1444,1732,1
2023-04-05,WH_001,Central Warehouse,Midwest,SKU_123,9528,5000,8000,3387,2261,4
2023-04-05,WH_002,West Warehouse,California,SKU_456,3641,2000,4000,3629,1413,2
2023-04-06,WH_001,Central Warehouse,Midwest,SKU_123,15464,5000,8000,1404,2053,7
2023-04-06,WH_002,West Warehouse,California,SKU_456,9421,2000,4000,1023,800,11
2023-04-07,WH_001,Central Warehouse,Midwest,SKU_123,8888,5000,8000,2225,1843,4
2023-04-07,WH_002,West Warehouse,California,SKU_456,10278,2000,4000,1858,805,12
2023-04-08,WH_001,Central Warehouse,Midwest,SKU_123,11612,5000,8000,3382,1209,9
2023-04-08,WH_002,West Warehouse,California,SKU_456,8501,2000,4000,709,1701,4
2023-04-09,WH_001,Central Warehouse,Midwest,SKU_123,12398,5000,8000,3256,1964,6
2023-04-09,WH_002,West Warehouse,California,SKU_456,6265,2000,4000,1848,1169,5
2023-04-10,WH_001,Central Warehouse,Midwest,SKU_123,9031,5000,8000,971,1618,5
2023-04-10,WH_002,West Warehouse,California,SKU_456,9138,2000,4000,2178,1318,6
2023-04-11,WH_001,Central Warehouse,Midwest,SKU_123,17265,5000,8000,2076,1921,8
2023-04-11,WH_002,West Warehouse,California,SKU_456,1791,2000,4000,0,1670,1
2023-04-12,WH_001,Central Warehouse,Midwest,SKU_123,9013,5000,8000,1745,1318,6
2023-04-12,WH_002,West Warehouse,California,SKU_456,13555,2000,4000,2479,1599,8
2023-04-13,WH_001,Central Warehouse,Midwest,SKU_123,16929,5000,8000,2442,1225,13
2023-04-13,WH_002,West Warehouse,California,SKU_456,11750,2000,4000,668,1693,6
2023-04-14,WH_001,Central Warehouse,Midwest,SKU_123,8583,5000,8000,2244,1615,5
2023-04-14,WH_002,West Warehouse,California,SKU_456,13867,2000,4000,122,1139,12
2023-04-15,WH_001,Central Warehouse,Midwest,SKU_123,16879,5000,8000,2402,1608,10
2023-04-15,WH_002,West Warehouse,California,SKU_456,4653,2000,4000,1291,2247,2
2023-04-16,WH_001,Central Warehouse,Midwest,SKU_123,13819,5000,8000,2450,1430,9
2023-04-16,WH_002,West Warehouse,California,SKU_456,3859,2000,4000,3120,1801,2
2023-04-17,WH_001,Central Warehouse,Midwest,SKU_123,22069,5000,8000,781,1993,11
2023-04-17,WH_002,West Warehouse,California,SKU_456,3409,2000,4000,2188,2085,1
2023-04-18,WH_001,Central Warehouse,Midwest,SKU_123,6747,5000,8000,1754,1162,5
2023-04-18,WH_002,West Warehouse,California,SKU_456,5543,2000,4000,2462,2172,2
2023-04-19,WH_001,Central Warehouse,Midwest,SKU_123,13533,5000,8000,2246,1568,8
2023-04-19,WH_002,West Warehouse,California,SKU_456,8006,2000,4000,692,2165,3
2023-04-20,WH_001,Central Warehouse,Midwest,SKU_123,15033,5000,8000,2473,1016,14
2023-04-20,WH_002,West Warehouse,California,SKU_456,6392,2000,4000,1788,579,11
2023-04-21,WH_001,Central Warehouse,Midwest,SKU_123,8091,5000,8000,1279,1813,4
2023-04-21,WH_002,West Warehouse,California,SKU_456,5714,2000,4000,777,1011,5
2023-04-22,WH_001,Central Warehouse,Midwest,SKU_123,12406,5000,8000,1575,2799,4
2023-04-22,WH_002,West Warehouse,California,SKU_456,11691,2000,4000,3229,2201,5
2023-04-23,WH_001,Central Warehouse,Midwest,SKU_123,10504,5000,8000,533,835,12
2023-04-23,WH_002,West Warehouse,California,SKU_456,12670,2000,4000,1343,749,16
2023-04-24,WH_001,Central Warehouse,Midwest,SKU_123,12491,5000,8000,1713,1661,7
2023-04-24,WH_002,West Warehouse,California,SKU_456,8878,2000,4000,1006,1911,4
2023-04-25,WH_001,Central Warehouse,Midwest,SKU_123,11762,5000,8000,1812,1912,6
2023-04-25,WH_002,West Warehouse,California,SKU_456,5753,2000,4000,1316,1855,3
2023-04-26,WH_001,Central Warehouse,Midwest,SKU_123,10997,5000,8000,1538,1833,5
2023-04-26,WH_002,West Warehouse,California,SKU_456,15189,2000,4000,2726,1783,8
2023-04-27,WH_001,Central Warehouse,Midwest,SKU_123,15857,5000,8000,712,1569,10
2023-04-27,WH_002,West Warehouse,California,SKU_456,7895,2000,4000,2385,1569,5
2023-04-28,WH_001,Central Warehouse,Midwest,SKU_123,15328,5000,8000,1626,1535,9
2023-04-28,WH_002,West Warehouse,California,SKU_456,3702,2000,4000,1616,2334,1
2023-04-29,WH_001,Central Warehouse,Midwest,SKU_123,15115,5000,8000,1974,2637,5
2023-04-29,WH_002,West Warehouse,California,SKU_456,3237,2000,4000,668,2527,1
2023-04-30,WH_001,Central Warehouse,Midwest,SKU_123,14160,5000,8000,1708,780,18
2023-04-30,WH_002,West Warehouse,California,SKU_456,9566,2000,4000,2653,843,11
2023-05-01,WH_001,Central Warehouse,Midwest,SKU_123,13509,5000,8000,1597,1653,8
2023-05-01,WH_002,West Warehouse,California,SKU_456,4082,2000,4000,3502,2049,1
2023-05-02,WH_001,Central Warehouse,Midwest,SKU_123,12728,5000,8000,1740,1418,8
2023-05-02,WH_002,West Warehouse,California,SKU_456,5275,2000,4000,1467,1337,3
2023-05-03,WH_001,Central Warehouse,Midwest,SKU_123,19645,5000,8000,3135,2060,9
2023-05-03,WH_002,West Warehouse,California,SKU_456,9294,2000,4000,659,1475,6
2023-05-04,WH_001,Central Warehouse,Midwest,SKU_123,17396,5000,8000,490,1881,9
2023-05-04,WH_002,West Warehouse,California,SKU_456,16129,2000,4000,3274,2348,6
2023-05-05,WH_001,Central Warehouse,Midwest,SKU_123,14764,5000,8000,3161,1069,13
2023-05-05,WH_002,West Warehouse,California,SKU_456,10785,2000,4000,2785,1673,6
2023-05-06,WH_001,Central Warehouse,Midwest,SKU_123,18606,5000,8000,1353,1387,13
2023-05-06,WH_002,West Warehouse,California,SKU_456,8334,2000,4000,764,1636,5
2023-05-07,WH_001,Central Warehouse,Midwest,SKU_123,7983,5000,8000,3256,1527,5
2023-05-07,WH_002,West Warehouse,California,SKU_456,6176,2000,4000,998,1359,4
2023-05-08,WH_001,Central Warehouse,Midwest,SKU_123,16408,5000,8000,2657,1076,15
2023-05-08,WH_002,West Warehouse,California,SKU_456,5038,2000,4000,2788,1066,4
2023-05-09,WH_001,Central Warehouse,Midwest,SKU_123,14209,5000,8000,2148,1687,8
2023-05-09,WH_002,West Warehouse,California,SKU_456,11003,2000,4000,484,353,31
2023-05-10,WH_001,Central Warehouse,Midwest,SKU_123,12013,5000,8000,4161,2713,4
2023-05-10,WH_002,West Warehouse,California,SKU_456,14409,2000,4000,1768,430,33
2023-05-11,WH_001,Central Warehouse,Midwest,SKU_123,5799,5000,8000,1263,1381,4
2023-05-11,WH_002,West Warehouse,California,SKU_456,12552,2000,4000,3041,1636,7
2023-05-12,WH_001,Central Warehouse,Midwest,SKU_123,10885,5000,8000,847,1652,6
2023-05-12,WH_002,West Warehouse,California,SKU_456,10439,2000,4000,2470,879,11
2023-05-13,WH_001,Central Warehouse,Midwest,SKU_123,16277,5000,8000,2511,857,18
2023-05-13,WH_002,West Warehouse,California,SKU_456,5254,2000,4000,2826,1359,3
2023-05-14,WH_001,Central Warehouse,Midwest,SKU_123,19562,5000,8000,2601,1208,16
2023-05-14,WH_002,West Warehouse,California,SKU_456,7964,2000,4000,2076,1062,7
2023-05-15,WH_001,Central Warehouse,Midwest,SKU_123,10805,5000,8000,2841,2007,5
2023-05-15,WH_002,West Warehouse,California,SKU_456,10113,2000,4000,3818,1174,8
2023-05-16,WH_001,Central Warehouse,Midwest,SKU_123,19859,5000,8000,918,892,22
2023-05-16,WH_002,West Warehouse,California,SKU_456,1840,2000,4000,1465,1197,1
2023-05-17,WH_001,Central Warehouse,Midwest,SKU_123,15840,5000,8000,2292,784,20
2023-05-17,WH_002,West Warehouse,California,SKU_456,6625,2000,4000,1554,434,15
2023-05-18,WH_001,Central Warehouse,Midwest,SKU_123,10566,5000,8000,1075,2360,4
2023-05-18,WH_002,West Warehouse,California,SKU_456,8670,2000,4000,2794,600,14
2023-05-19,WH_001,Central Warehouse,Midwest,SKU_123,18179,5000,8000,3561,300,60
2023-05-19,WH_002,West Warehouse,California,SKU_456,5531,2000,4000,2594,1886,2
2023-05-20,WH_001,Central Warehouse,Midwest,SKU_123,11625,5000,8000,1633,1141,10
2023-05-20,WH_002,West Warehouse,California,SKU_456,8386,2000,4000,3436,1037,8
2023-05-21,WH_001,Central Warehouse,Midwest,SKU_123,17502,5000,8000,1061,991,17
2023-05-21,WH_002,West Warehouse,California,SKU_456,10865,2000,4000,3106,2010,5
2023-05-22,WH_001,Central Warehouse,Midwest,SKU_123,9394,5000,8000,1440,1993,4
2023-05-22,WH_002,West Warehouse,California,SKU_456,8145,2000,4000,711,1774,4
2023-05-23,WH_001,Central Warehouse,Midwest,SKU_123,11498,5000,8000,4153,2426,4
2023-05-23,WH_002,West Warehouse,California,SKU_456,10114,2000,4000,3633,1538,6
2023-05-24,WH_001,Central Warehouse,Midwest,SKU_123,16679,5000,8000,3773,1647,10
2023-05-24,WH_002,West Warehouse,California,SKU_456,7106,2000,4000,0,1450,4
2023-05-25,WH_001,Central Warehouse,Midwest,SKU_123,16881,5000,8000,3134,1802,9
2023-05-25,WH_002,West Warehouse,California,SKU_456,6105,2000,4000,0,1202,5
2023-05-26,WH_001,Central Warehouse,Midwest,SKU_123,12934,5000,8000,1624,1871,6
2023-05-26,WH_002,West Warehouse,California,SKU_456,14949,2000,4000,2148,1369,10
2023-05-27,WH_001,Central Warehouse,Midwest,SKU_123,13092,5000,8000,2149,1003,13
2023-05-27,WH_002,West Warehouse,California,SKU_456,8420,2000,4000,2540,1625,5
2023-05-28,WH_001,Central Warehouse,Midwest,SKU_123,15601,5000,8000,2520,436,35
2023-05-28,WH_002,West Warehouse,California,SKU_456,10229,2000,4000,1194,842,12
2023-05-29,WH_001,Central Warehouse,Midwest,SKU_123,10134,5000,8000,2520,1366,7
2023-05-29,WH_002,West Warehouse,California,SKU_456,2113,2000,4000,2573,636,3
2023-05-30,WH_001,Central Warehouse,Midwest,SKU_123,14489,5000,8000,2286,2031,7
2023-05-30,WH_002,West Warehouse,California,SKU_456,14235,2000,4000,362,1468,9
2023-05-31,WH_001,Central Warehouse,Midwest,SKU_123,13032,5000,8000,2520,1629,8
2023-05-31,WH_002,West Warehouse,California,SKU_456,6766,2000,4000,1470,830,8
2023-06-01,WH_001,Central Warehouse,Midwest,SKU_123,17457,5000,8000,2551,2050,8
2023-06-01,WH_002,West Warehouse,California,SKU_456,6913,2000,4000,1211,853,8
