date,plant_id,plant_name,plant_region,sku,units_produced,production_capacity,capacity_utilization,downtime_hours,cycle_time_hours,defect_rate
2023-01-25,PLANT_B,South Plant,Mexico,SKU_456,1511,1500,1.01,5.94,1.69,0.05
2023-01-26,PLANT_A,North Plant,USA,SKU_123,1204,1000,1.2,4.21,2.15,0.03
2023-01-26,PLANT_B,South Plant,Mexico,SKU_456,1777,1500,1.18,4.86,3.22,0.07
2023-01-27,PLANT_A,North Plant,USA,SKU_123,1172,1000,1.17,3.9,2.87,0.07
2023-01-27,PLANT_B,South Plant,Mexico,SKU_456,1650,1500,1.1,2.03,2.19,0.02
2023-01-28,PLANT_A,North Plant,USA,SKU_123,995,1000,0.99,3.26,2.0,0.05
2023-01-28,PLANT_B,South Plant,Mexico,SKU_456,985,1500,0.66,0.22,3.13,0.04
2023-01-29,PLANT_A,North Plant,USA,SKU_123,1037,1000,1.04,1.29,2.71,0.02
2023-01-29,PLANT_B,South Plant,Mexico,SKU_456,1065,1500,0.71,3.19,2.54,0.05
2023-01-30,PLANT_A,North Plant,USA,SKU_123,1001,1000,1.0,1.94,3.07,0.03
2023-01-30,PLANT_B,South Plant,Mexico,SKU_456,1553,1500,1.04,0.47,1.45,0.08
2023-01-31,PLANT_A,North Plant,USA,SKU_123,1007,1000,1.01,1.04,1.73,0.03
2023-01-31,PLANT_B,South Plant,Mexico,SKU_456,1699,1500,1.13,4.29,2.79,0.03
2023-02-01,PLANT_A,North Plant,USA,SKU_123,1145,1000,1.15,3.67,2.28,0.03
2023-02-01,PLANT_B,South Plant,Mexico,SKU_456,1698,1500,1.13,4.55,1.43,0.02
2023-02-02,PLANT_A,North Plant,USA,SKU_123,671,1000,0.67,0.59,2.43,0.04
2023-02-02,PLANT_B,South Plant,Mexico,SKU_456,1499,1500,1.0,2.6,2.24,0.05
2023-02-03,PLANT_A,North Plant,USA,SKU_123,984,1000,0.98,3.76,2.46,0.07
2023-02-03,PLANT_B,South Plant,Mexico,SKU_456,1444,1500,0.96,0.98,1.55,0.05
2023-02-04,PLANT_A,North Plant,USA,SKU_123,777,1000,0.78,3.45,2.22,0.06
2023-02-04,PLANT_B,South Plant,Mexico,SKU_456,1515,1500,1.01,3.27,3.38,0.04
2023-02-05,PLANT_A,North Plant,USA,SKU_123,1041,1000,1.04,1.91,3.17,0.01
2023-02-05,PLANT_B,South Plant,Mexico,SKU_456,1674,1500,1.12,1.69,1.65,0.06
2023-02-06,PLANT_A,North Plant,USA,SKU_123,1043,1000,1.04,4.82,1.99,0.02
2023-02-06,PLANT_B,South Plant,Mexico,SKU_456,1569,1500,1.05,4.84,3.48,0.04
2023-02-07,PLANT_A,North Plant,USA,SKU_123,919,1000,0.92,5.58,3.2,0.04
2023-02-07,PLANT_B,South Plant,Mexico,SKU_456,1639,1500,1.09,4.53,1.62,0.07
2023-02-08,PLANT_A,North Plant,USA,SKU_123,937,1000,0.94,5.37,2.22,0.01
2023-02-08,PLANT_B,South Plant,Mexico,SKU_456,1763,1500,1.18,0.55,2.07,0.08
2023-02-09,PLANT_A,North Plant,USA,SKU_123,1329,1000,1.33,2.69,2.02,0.03
2023-02-09,PLANT_B,South Plant,Mexico,SKU_456,1627,1500,1.08,4.51,3.06,0.07
2023-02-10,PLANT_A,North Plant,USA,SKU_123,616,1000,0.62,3.3,2.33,0.07
2023-02-10,PLANT_B,South Plant,Mexico,SKU_456,1498,1500,1.0,0.7,1.7,0.06
2023-02-11,PLANT_A,North Plant,USA,SKU_123,948,1000,0.95,4.93,2.88,0.02
2023-02-11,PLANT_B,South Plant,Mexico,SKU_456,1074,1500,0.72,5.92,2.19,0.04
2023-02-12,PLANT_A,North Plant,USA,SKU_123,1020,1000,1.02,0.5,3.03,0.05
2023-02-12,PLANT_B,South Plant,Mexico,SKU_456,1663,1500,1.11,5.44,1.63,0.04
2023-02-13,PLANT_A,North Plant,USA,SKU_123,618,1000,0.62,0.71,1.65,0.06
2023-02-13,PLANT_B,South Plant,Mexico,SKU_456,1494,1500,1.0,3.5,3.42,0.04
2023-02-14,PLANT_A,North Plant,USA,SKU_123,808,1000,0.81,5.78,1.43,0.08
2023-02-14,PLANT_B,South Plant,Mexico,SKU_456,1104,1500,0.74,5.35,2.51,0.08
2023-02-15,PLANT_A,North Plant,USA,SKU_123,756,1000,0.76,3.14,2.72,0.06
2023-02-15,PLANT_B,South Plant,Mexico,SKU_456,1506,1500,1.0,3.77,2.63,0.07
2023-02-16,PLANT_A,North Plant,USA,SKU_123,686,1000,0.69,3.72,1.98,0.02
2023-02-16,PLANT_B,South Plant,Mexico,SKU_456,1617,1500,1.08,2.12,2.63,0.02
2023-02-17,PLANT_A,North Plant,USA,SKU_123,870,1000,0.87,4.88,2.84,0.02
2023-02-17,PLANT_B,South Plant,Mexico,SKU_456,1693,1500,1.13,4.94,3.39,0.06
2023-02-18,PLANT_A,North Plant,USA,SKU_123,1084,1000,1.08,5.2,1.49,0.01
2023-02-18,PLANT_B,South Plant,Mexico,SKU_456,1484,1500,0.99,4.86,3.47,0.02
2023-02-19,PLANT_A,North Plant,USA,SKU_123,1040,1000,1.04,5.05,3.16,0.04
2023-02-19,PLANT_B,South Plant,Mexico,SKU_456,1489,1500,0.99,1.64,1.52,0.07
2023-02-20,PLANT_A,North Plant,USA,SKU_123,1281,1000,1.28,5.67,3.18,0.03
2023-02-20,PLANT_B,South Plant,Mexico,SKU_456,1537,1500,1.02,0.77,3.4,0.05
2023-02-21,PLANT_A,North Plant,USA,SKU_123,977,1000,0.98,2.15,1.64,0.06
2023-02-21,PLANT_B,South Plant,Mexico,SKU_456,1684,1500,1.12,4.63,2.49,0.07
2023-02-22,PLANT_A,North Plant,USA,SKU_123,1123,1000,1.12,2.42,1.68,0.01
2023-02-22,PLANT_B,South Plant,Mexico,SKU_456,1519,1500,1.01,3.72,2.88,0.02
2023-02-23,PLANT_A,North Plant,USA,SKU_123,642,1000,0.64,2.62,3.3,0.03
2023-02-23,PLANT_B,South Plant,Mexico,SKU_456,1673,1500,1.12,4.7,2.23,0.05
2023-02-24,PLANT_A,North Plant,USA,SKU_123,1098,1000,1.1,1.55,2.36,0.08
2023-02-24,PLANT_B,South Plant,Mexico,SKU_456,1595,1500,1.06,1.97,2.73,0.03
2023-02-25,PLANT_A,North Plant,USA,SKU_123,567,1000,0.57,2.07,3.28,0.04
2023-02-25,PLANT_B,South Plant,Mexico,SKU_456,1558,1500,1.04,1.03,1.8,0.01
2023-02-26,PLANT_A,North Plant,USA,SKU_123,752,1000,0.75,0.53,1.65,0.04
2023-02-26,PLANT_B,South Plant,Mexico,SKU_456,1207,1500,0.8,2.19,2.46,0.06
2023-02-27,PLANT_A,North Plant,USA,SKU_123,761,1000,0.76,0.49,3.23,0.07
2023-02-27,PLANT_B,South Plant,Mexico,SKU_456,1194,1500,0.8,1.66,3.09,0.06
2023-02-28,PLANT_A,North Plant,USA,SKU_123,784,1000,0.78,2.91,2.7,0.04
2023-02-28,PLANT_B,South Plant,Mexico,SKU_456,1352,1500,0.9,4.48,1.48,0.03
2023-03-01,PLANT_A,North Plant,USA,SKU_123,1003,1000,1.0,3.19,1.63,0.04
2023-03-01,PLANT_B,South Plant,Mexico,SKU_456,1616,1500,1.08,1.45,1.97,0.04
2023-03-02,PLANT_A,North Plant,USA,SKU_123,572,1000,0.57,1.96,1.65,0.07
2023-03-02,PLANT_B,South Plant,Mexico,SKU_456,1421,1500,0.95,4.07,3.06,0.04
2023-03-03,PLANT_A,North Plant,USA,SKU_123,984,1000,0.98,4.47,2.31,0.02
2023-03-03,PLANT_B,South Plant,Mexico,SKU_456,1396,1500,0.93,2.18,2.76,0.05
2023-03-04,PLANT_A,North Plant,USA,SKU_123,1003,1000,1.0,1.42,1.61,0.02
2023-03-04,PLANT_B,South Plant,Mexico,SKU_456,1290,1500,0.86,0.96,1.79,0.03
2023-03-05,PLANT_A,North Plant,USA,SKU_123,549,1000,0.55,5.89,1.64,0.04
2023-03-05,PLANT_B,South Plant,Mexico,SKU_456,1732,1500,1.15,5.19,3.12,0.03
2023-03-06,PLANT_A,North Plant,USA,SKU_123,913,1000,0.91,3.34,2.6,0.03
2023-03-06,PLANT_B,South Plant,Mexico,SKU_456,1524,1500,1.02,1.12,2.08,0.04
2023-03-07,PLANT_A,North Plant,USA,SKU_123,944,1000,0.94,3.66,2.01,0.05
2023-03-07,PLANT_B,South Plant,Mexico,SKU_456,1238,1500,0.83,2.89,2.52,0.01
2023-03-08,PLANT_A,North Plant,USA,SKU_123,927,1000,0.93,4.09,3.0,0.05
2023-03-08,PLANT_B,South Plant,Mexico,SKU_456,1591,1500,1.06,2.47,2.13,0.08
2023-03-09,PLANT_A,North Plant,USA,SKU_123,1120,1000,1.12,1.09,1.54,0.06
2023-03-09,PLANT_B,South Plant,Mexico,SKU_456,1510,1500,1.01,5.05,1.69,0.07
2023-03-10,PLANT_A,North Plant,USA,SKU_123,811,1000,0.81,4.89,2.8,0.05
2023-03-10,PLANT_B,South Plant,Mexico,SKU_456,1461,1500,0.97,5.26,2.22,0.07
2023-03-11,PLANT_A,North Plant,USA,SKU_123,918,1000,0.92,1.81,2.97,0.05
2023-03-11,PLANT_B,South Plant,Mexico,SKU_456,1007,1500,0.67,5.4,2.21,0.05
2023-03-12,PLANT_A,North Plant,USA,SKU_123,993,1000,0.99,5.64,2.72,0.03
2023-03-12,PLANT_B,South Plant,Mexico,SKU_456,1309,1500,0.87,4.76,2.7,0.05
2023-03-13,PLANT_A,North Plant,USA,SKU_123,1041,1000,1.04,1.87,1.92,0.06
2023-03-13,PLANT_B,South Plant,Mexico,SKU_456,1098,1500,0.73,3.42,3.0,0.07
2023-03-14,PLANT_A,North Plant,USA,SKU_123,1154,1000,1.15,0.9,1.88,0.06
2023-03-14,PLANT_B,South Plant,Mexico,SKU_456,1446,1500,0.96,3.85,2.86,0.05
2023-03-15,PLANT_A,North Plant,USA,SKU_123,722,1000,0.72,5.45,2.63,0.04
2023-03-15,PLANT_B,South Plant,Mexico,SKU_456,1438,1500,0.96,5.68,1.72,0.05
2023-03-16,PLANT_A,North Plant,USA,SKU_123,975,1000,0.97,5.23,3.36,0.05
2023-03-16,PLANT_B,South Plant,Mexico,SKU_456,1505,1500,1.0,5.53,2.89,0.02
2023-03-17,PLANT_A,North Plant,USA,SKU_123,839,1000,0.84,4.42,3.36,0.07
2023-03-17,PLANT_B,South Plant,Mexico,SKU_456,1726,1500,1.15,0.68,3.47,0.07
2023-03-18,PLANT_A,North Plant,USA,SKU_123,1154,1000,1.15,2.39,1.51,0.03
2023-03-18,PLANT_B,South Plant,Mexico,SKU_456,1712,1500,1.14,0.03,2.1,0.04
2023-03-19,PLANT_A,North Plant,USA,SKU_123,972,1000,0.97,2.08,2.95,0.04
2023-03-19,PLANT_B,South Plant,Mexico,SKU_456,1350,1500,0.9,2.71,1.7,0.02
2023-03-20,PLANT_A,North Plant,USA,SKU_123,1096,1000,1.1,2.17,2.62,0.05
2023-03-20,PLANT_B,South Plant,Mexico,SKU_456,1031,1500,0.69,3.98,1.77,0.08
2023-03-21,PLANT_A,North Plant,USA,SKU_123,754,1000,0.75,5.98,2.45,0.05
2023-03-21,PLANT_B,South Plant,Mexico,SKU_456,1030,1500,0.69,4.5,1.84,0.07
2023-03-22,PLANT_A,North Plant,USA,SKU_123,1158,1000,1.16,0.39,3.03,0.04
2023-03-22,PLANT_B,South Plant,Mexico,SKU_456,1367,1500,0.91,2.64,2.24,0.05
2023-03-23,PLANT_A,North Plant,USA,SKU_123,884,1000,0.88,5.68,2.18,0.03
2023-03-23,PLANT_B,South Plant,Mexico,SKU_456,1469,1500,0.98,2.45,1.45,0.02
2023-03-24,PLANT_A,North Plant,USA,SKU_123,989,1000,0.99,1.33,1.89,0.06
2023-03-24,PLANT_B,South Plant,Mexico,SKU_456,1053,1500,0.7,0.62,3.08,0.02
2023-03-25,PLANT_A,North Plant,USA,SKU_123,957,1000,0.96,1.46,2.92,0.07
2023-03-25,PLANT_B,South Plant,Mexico,SKU_456,1622,1500,1.08,2.38,2.8,0.02
2023-03-26,PLANT_A,North Plant,USA,SKU_123,649,1000,0.65,5.36,3.12,0.03
2023-03-26,PLANT_B,South Plant,Mexico,SKU_456,1486,1500,0.99,2.28,2.64,0.03
2023-03-27,PLANT_A,North Plant,USA,SKU_123,1149,1000,1.15,2.62,2.02,0.08
2023-03-27,PLANT_B,South Plant,Mexico,SKU_456,1239,1500,0.83,0.84,3.22,0.04
2023-03-28,PLANT_A,North Plant,USA,SKU_123,1059,1000,1.06,0.13,1.96,0.05
2023-03-28,PLANT_B,South Plant,Mexico,SKU_456,1661,1500,1.11,1.55,1.69,0.07
2023-03-29,PLANT_A,North Plant,USA,SKU_123,945,1000,0.94,1.63,1.44,0.07
2023-03-29,PLANT_B,South Plant,Mexico,SKU_456,1287,1500,0.86,3.46,1.98,0.05
2023-03-30,PLANT_A,North Plant,USA,SKU_123,943,1000,0.94,0.07,1.69,0.07
2023-03-30,PLANT_B,South Plant,Mexico,SKU_456,1713,1500,1.14,3.58,2.66,0.06
2023-03-31,PLANT_A,North Plant,USA,SKU_123,831,1000,0.83,2.3,2.49,0.01
2023-03-31,PLANT_B,South Plant,Mexico,SKU_456,1371,1500,0.91,4.43,1.57,0.05
2023-04-01,PLANT_A,North Plant,USA,SKU_123,667,1000,0.67,2.13,2.91,0.03
2023-04-01,PLANT_B,South Plant,Mexico,SKU_456,1404,1500,0.94,2.86,2.79,0.08
2023-04-02,PLANT_A,North Plant,USA,SKU_123,1072,1000,1.07,0.31,2.44,0.05
2023-04-02,PLANT_B,South Plant,Mexico,SKU_456,1317,1500,0.88,4.63,1.62,0.02
2023-04-03,PLANT_A,North Plant,USA,SKU_123,1237,1000,1.24,2.61,1.92,0.07
2023-04-03,PLANT_B,South Plant,Mexico,SKU_456,1494,1500,1.0,4.17,1.97,0.05
2023-04-04,PLANT_A,North Plant,USA,SKU_123,841,1000,0.84,3.25,3.23,0.06
2023-04-04,PLANT_B,South Plant,Mexico,SKU_456,1622,1500,1.08,3.95,2.85,0.07
2023-04-05,PLANT_A,North Plant,USA,SKU_123,666,1000,0.67,5.93,3.38,0.01
2023-04-05,PLANT_B,South Plant,Mexico,SKU_456,1493,1500,1.0,5.55,1.78,0.05
2023-04-06,PLANT_A,North Plant,USA,SKU_123,1153,1000,1.15,5.83,3.38,0.04
2023-04-06,PLANT_B,South Plant,Mexico,SKU_456,1624,1500,1.08,5.07,2.07,0.07
2023-04-07,PLANT_A,North Plant,USA,SKU_123,531,1000,0.53,0.72,1.56,0.06
2023-04-07,PLANT_B,South Plant,Mexico,SKU_456,1560,1500,1.04,4.35,1.54,0.03
2023-04-08,PLANT_A,North Plant,USA,SKU_123,921,1000,0.92,3.76,3.26,0.05
2023-04-08,PLANT_B,South Plant,Mexico,SKU_456,1400,1500,0.93,0.15,3.23,0.01
2023-04-09,PLANT_A,North Plant,USA,SKU_123,1185,1000,1.19,4.79,3.5,0.03
2023-04-09,PLANT_B,South Plant,Mexico,SKU_456,1505,1500,1.0,2.41,2.41,0.05
2023-04-10,PLANT_A,North Plant,USA,SKU_123,898,1000,0.9,4.43,1.9,0.02
2023-04-10,PLANT_B,South Plant,Mexico,SKU_456,1288,1500,0.86,1.72,2.02,0.03
2023-04-11,PLANT_A,North Plant,USA,SKU_123,467,1000,0.47,4.08,1.86,0.08
2023-04-11,PLANT_B,South Plant,Mexico,SKU_456,1355,1500,0.9,0.54,2.28,0.07
2023-04-12,PLANT_A,North Plant,USA,SKU_123,1377,1000,1.38,1.0,3.48,0.03
2023-04-12,PLANT_B,South Plant,Mexico,SKU_456,1570,1500,1.05,3.9,2.68,0.05
2023-04-13,PLANT_A,North Plant,USA,SKU_123,787,1000,0.79,1.12,3.04,0.03
2023-04-13,PLANT_B,South Plant,Mexico,SKU_456,978,1500,0.65,5.81,3.26,0.07
2023-04-14,PLANT_A,North Plant,USA,SKU_123,1055,1000,1.05,4.55,2.86,0.02
2023-04-14,PLANT_B,South Plant,Mexico,SKU_456,1509,1500,1.01,1.35,1.87,0.05
2023-04-15,PLANT_A,North Plant,USA,SKU_123,899,1000,0.9,5.26,1.96,0.02
2023-04-15,PLANT_B,South Plant,Mexico,SKU_456,1669,1500,1.11,5.73,3.21,0.07
2023-04-16,PLANT_A,North Plant,USA,SKU_123,897,1000,0.9,2.45,2.18,0.03
2023-04-16,PLANT_B,South Plant,Mexico,SKU_456,1512,1500,1.01,2.98,1.57,0.03
2023-04-17,PLANT_A,North Plant,USA,SKU_123,582,1000,0.58,3.55,3.13,0.03
2023-04-17,PLANT_B,South Plant,Mexico,SKU_456,1395,1500,0.93,3.39,1.96,0.07
2023-04-18,PLANT_A,North Plant,USA,SKU_123,1111,1000,1.11,5.2,2.89,0.07
2023-04-18,PLANT_B,South Plant,Mexico,SKU_456,1550,1500,1.03,4.08,2.7,0.06
2023-04-19,PLANT_A,North Plant,USA,SKU_123,805,1000,0.81,4.46,1.74,0.07
2023-04-19,PLANT_B,South Plant,Mexico,SKU_456,1549,1500,1.03,3.04,1.41,0.03
2023-04-20,PLANT_A,North Plant,USA,SKU_123,1002,1000,1.0,1.56,2.73,0.05
2023-04-20,PLANT_B,South Plant,Mexico,SKU_456,1510,1500,1.01,0.64,3.0,0.05
2023-04-21,PLANT_A,North Plant,USA,SKU_123,1245,1000,1.25,5.59,1.62,0.08
2023-04-21,PLANT_B,South Plant,Mexico,SKU_456,1327,1500,0.88,0.41,2.03,0.06
2023-04-22,PLANT_A,North Plant,USA,SKU_123,482,1000,0.48,3.73,1.5,0.07
2023-04-22,PLANT_B,South Plant,Mexico,SKU_456,1765,1500,1.18,5.81,2.97,0.02
2023-04-23,PLANT_A,North Plant,USA,SKU_123,984,1000,0.98,4.62,2.83,0.04
2023-04-23,PLANT_B,South Plant,Mexico,SKU_456,1030,1500,0.69,5.98,2.29,0.04
2023-04-24,PLANT_A,North Plant,USA,SKU_123,927,1000,0.93,1.32,1.57,0.06
2023-04-24,PLANT_B,South Plant,Mexico,SKU_456,1618,1500,1.08,1.64,3.4,0.02
2023-04-25,PLANT_A,North Plant,USA,SKU_123,986,1000,0.99,3.83,2.23,0.03
2023-04-25,PLANT_B,South Plant,Mexico,SKU_456,1725,1500,1.15,2.46,3.28,0.03
2023-04-26,PLANT_A,North Plant,USA,SKU_123,858,1000,0.86,2.21,3.22,0.04
2023-04-26,PLANT_B,South Plant,Mexico,SKU_456,1622,1500,1.08,1.11,3.22,0.06
2023-04-27,PLANT_A,North Plant,USA,SKU_123,1055,1000,1.05,3.76,1.68,0.01
2023-04-27,PLANT_B,South Plant,Mexico,SKU_456,1722,1500,1.15,3.7,3.07,0.04
2023-04-28,PLANT_A,North Plant,USA,SKU_123,894,1000,0.89,2.58,1.82,0.04
2023-04-28,PLANT_B,South Plant,Mexico,SKU_456,959,1500,0.64,3.49,1.96,0.07
2023-04-29,PLANT_A,North Plant,USA,SKU_123,966,1000,0.97,0.43,2.22,0.04
2023-04-29,PLANT_B,South Plant,Mexico,SKU_456,1496,1500,1.0,1.75,2.86,0.07
2023-04-30,PLANT_A,North Plant,USA,SKU_123,997,1000,1.0,0.63,1.91,0.08
2023-04-30,PLANT_B,South Plant,Mexico,SKU_456,1206,1500,0.8,2.99,2.7,0.06
2023-05-01,PLANT_A,North Plant,USA,SKU_123,894,1000,0.89,2.1,1.47,0.02
2023-05-01,PLANT_B,South Plant,Mexico,SKU_456,1504,1500,1.0,0.8,2.59,0.06
2023-05-02,PLANT_A,North Plant,USA,SKU_123,1040,1000,1.04,0.63,2.74,0.06
2023-05-02,PLANT_B,South Plant,Mexico,SKU_456,996,1500,0.66,5.62,1.51,0.05
2023-05-03,PLANT_A,North Plant,USA,SKU_123,1047,1000,1.05,4.81,2.11,0.07
2023-05-03,PLANT_B,South Plant,Mexico,SKU_456,1131,1500,0.75,5.37,2.55,0.07
2023-05-04,PLANT_A,North Plant,USA,SKU_123,1048,1000,1.05,4.39,1.57,0.01
2023-05-04,PLANT_B,South Plant,Mexico,SKU_456,1536,1500,1.02,0.96,3.23,0.03
2023-05-05,PLANT_A,North Plant,USA,SKU_123,976,1000,0.98,4.74,2.78,0.04
2023-05-05,PLANT_B,South Plant,Mexico,SKU_456,1436,1500,0.96,4.32,1.88,0.08
2023-05-06,PLANT_A,North Plant,USA,SKU_123,964,1000,0.96,4.08,1.55,0.01
2023-05-06,PLANT_B,South Plant,Mexico,SKU_456,1342,1500,0.89,2.78,3.22,0.06
2023-05-07,PLANT_A,North Plant,USA,SKU_123,776,1000,0.78,2.23,3.47,0.01
2023-05-07,PLANT_B,South Plant,Mexico,SKU_456,1541,1500,1.03,3.47,2.32,0.06
2023-05-08,PLANT_A,North Plant,USA,SKU_123,804,1000,0.8,3.55,3.32,0.02
2023-05-08,PLANT_B,South Plant,Mexico,SKU_456,1431,1500,0.95,3.79,2.94,0.02
2023-05-09,PLANT_A,North Plant,USA,SKU_123,1038,1000,1.04,2.95,1.92,0.07
2023-05-09,PLANT_B,South Plant,Mexico,SKU_456,1465,1500,0.98,3.09,2.15,0.05
2023-05-10,PLANT_A,North Plant,USA,SKU_123,894,1000,0.89,1.55,2.78,0.03
2023-05-10,PLANT_B,South Plant,Mexico,SKU_456,1489,1500,0.99,0.79,3.44,0.04
2023-05-11,PLANT_A,North Plant,USA,SKU_123,598,1000,0.6,4.97,2.3,0.03
2023-05-11,PLANT_B,South Plant,Mexico,SKU_456,1530,1500,1.02,4.24,1.75,0.02
2023-05-12,PLANT_A,North Plant,USA,SKU_123,801,1000,0.8,2.85,3.17,0.07
2023-05-12,PLANT_B,South Plant,Mexico,SKU_456,1646,1500,1.1,5.21,1.83,0.02
2023-05-13,PLANT_A,North Plant,USA,SKU_123,855,1000,0.85,5.62,1.48,0.02
2023-05-13,PLANT_B,South Plant,Mexico,SKU_456,1417,1500,0.94,5.6,2.06,0.05
2023-05-14,PLANT_A,North Plant,USA,SKU_123,716,1000,0.72,5.21,2.35,0.05
2023-05-14,PLANT_B,South Plant,Mexico,SKU_456,1554,1500,1.04,4.0,1.69,0.01
2023-05-15,PLANT_A,North Plant,USA,SKU_123,887,1000,0.89,4.04,3.44,0.02
2023-05-15,PLANT_B,South Plant,Mexico,SKU_456,1577,1500,1.05,2.66,3.22,0.02
2023-05-16,PLANT_A,North Plant,USA,SKU_123,996,1000,1.0,3.71,3.22,0.05
2023-05-16,PLANT_B,South Plant,Mexico,SKU_456,1290,1500,0.86,5.59,2.85,0.06
2023-05-17,PLANT_A,North Plant,USA,SKU_123,719,1000,0.72,3.91,1.62,0.06
